,station_id,vélos_disponibles,places_disponibles
0,213688169,7,28
1,653222953,27,2
2,17278902806,4,16
3,36255,4,17
4,37815204,11,19
5,251039991,8,17
6,85002689,15,43
7,2515829865,7,14
8,516709288,3,16
9,120827885,3,9
10,66491398,6,42
11,37874517,13,6
12,210565680,24,11
13,210403080,22,1
14,210561800,1,16
15,209063434,6,25
16,94555589,1,25
17,244498842,13,37
18,210405211,17,2
19,43195240,8,17
20,501862076,1,21
21,17486274358,18,21
22,207633746,34,26
23,16560752067,4,26
24,210566542,49,9
25,85043758,5,30
26,54000559,11,27
27,210397939,15,1
28,82405965,41,2
29,213682736,1,51
30,128986726,28,3
31,54000581,5,28
32,13105968,3,18
33,653208733,2,35
34,27415224,29,3
35,54000536,30,4
36,129094535,4,23
37,54000612,4,37
38,80101533,12,22
39,17486876370,1,17
40,599135701,4,37
41,102747146,12,14
42,2515403527,5,24
43,653132534,12,13
44,506455295,10,5
45,1057149522,1,21
46,653197324,12,11
47,2515085147,5,16
48,42950839,2,16
49,14813797734,4,24
50,88230992,5,21
51,499303158,14,16
52,123095125,3,54
53,27415302,5,20
54,27414512,28,12
55,210580039,2,14
56,49474389,20,3
57,128940135,20,1
58,35149611,1,13
59,1057296253,47,16
60,576188379,0,24
61,129107656,1,24
62,210574471,1,10
63,1057228658,0,22
64,230873471,6,15
65,205047993,12,34
66,39799329,26,7
67,129164969,4,45
68,128989986,23,2
69,129004826,2,14
70,518825709,16,5
71,128930462,28,0
72,911767210,4,19
73,54000565,2,25
74,210586093,1,23
75,7254,15,9
76,369644630,5,27
77,214114469,27,4
78,55927887,31,5
79,210570888,12,10
80,128887067,11,6
81,72765603,18,1
82,210582921,11,2
83,16659953198,4,25
84,17486828694,31,0
85,16659964929,17,12
86,35196898,0,27
87,43255030,8,39
88,129025451,1,25
89,128920403,25,0
90,323616530,15,1
91,1062192012,33,2
92,521393180,5,15
93,6296,16,1
94,208795867,0,16
95,82567101,9,16
96,457813746,0,15
97,128882438,35,0
98,50191171,5,18
99,129014600,31,2
100,3906153622,2,14
101,129087587,3,36
102,213693511,3,21
103,82379648,30,3
104,66491397,9,51
105,230877798,0,34
106,2515995748,13,9
107,27363162,0,22
108,129021753,2,15
109,210740080,3,45
110,3906094706,20,20
111,80216231,4,35
112,336511521,2,15
113,82562556,8,40
114,129048000,20,24
115,1062250686,8,28
116,129043651,9,12
117,27363489,3,24
118,39296638,33,1
119,813544903,7,23
120,205938683,9,44
121,210399835,35,3
122,102324803,0,40
123,101763163,12,0
124,653133605,28,17
125,126050442,2,21
126,27414578,12,6
127,54000569,5,31
128,508042092,8,25
129,42603855,5,12
130,818302209,3,48
131,13718041,1,21
132,265464297,7,43
133,1057392676,26,8
134,532054446,29,29
135,129034587,1,16
136,261987383,2,24
137,314829539,7,41
138,1057324291,2,53
139,37815993,35,1
140,583539396,11,18
141,101753100,16,0
142,27415466,0,22
143,81081358,3,34
144,66491385,3,20
145,209057581,4,14
146,3906335682,10,15
147,586539770,12,9
148,535500589,61,3
149,597245295,4,30
150,18656691283,0,0
151,235513935,1,26
152,102309973,2,39
153,27363187,0,0
154,27206194,3,16
155,102323152,1,18
156,828134511,5,26
157,129060764,3,25
158,586649404,13,12
159,596813170,2,13
160,596872103,7,22
161,271426439,5,13
162,210749865,11,7
163,66491389,52,2
164,76199461,4,27
165,230952057,28,4
166,88140066,63,3
167,213683101,2,17
168,213684750,4,30
169,129067920,5,34
170,2515049357,22,1
171,27364743,3,18
172,102314792,1,32
173,35447568,6,17
174,583178525,0,18
175,2514995690,27,1
176,66491402,4,27
177,82387816,22,9
178,213685090,9,19
179,301841024,5,24
180,213679512,5,20
181,85147829,12,14
182,588452142,4,18
183,129038848,24,7
184,17581042048,2,26
185,213681356,3,19
